ErrorCode	ErrorName
1	Inconsistent software versions. Please contact service.
83	Value above reference range
84	Value below reference range
85	Value is below the critical limit
86	Value is above the critical limit
89	Measured QC value above the control range
90	Measured QC value below control range
93	Value above the reportable range
94	Value below the reportable range
99	LIS/HIS: Low level protocol send failed
100	LIS/HIS: Low level protocol receive failed
101	LIS/HIS: Low level protocol unable to send because connection is busy
102	LIS/HIS: Low level protocol receive failed because of timeout
109	LIS/HIS: Low level protocol send failed, ACK or NAK not received
115	LIS/HIS: Low level protocol ACK after ENQ not received
117	LIS/HIS: Invalid connection configuration
118	LIS/HIS: Connection manager could not open high level protocol
128	LIS/HIS: Failed to open connection
129	LIS/HIS: Failed to close connection
131	LIS/HIS: Failed to send packet
132	LIS/HIS: Failed to receive packet
133	LIS/HIS: Connection lost
134	LIS/HIS: Connection established
135	LIS/HIS: High level protocol could not open connection
141	LIS/HIS: Low level protocol configuration not correct
142	LIS/HIS: Low level protocol failed to open connection
143	LIS/HIS: Low level protocol failed to close connection
165	LIS/HIS: High level protocol could not generate high level packet
166	LIS/HIS: General communication error
167	LIS/HIS: High level protocol received packet in wrong format
200	User msg:
201	Westgard Rule (1.2s) violation
202	Westgard Rule (1.3s) violation
203	Westgard Rule (2.2s) violation
204	Westgard Rule (R.4s) violation
205	Westgard Rule (4.1s) violation
206	Westgard Rule (10.x) violation
207	Calibration schedule reminder(s) present
208	Quality control schedule reminder(s) present
209	Replacement schedule reminder(s) present
210	Calibration error(s) present
211	Quality control error(s) present
212	System message(s) present
213	Automatic backup failed
214	Automatic backup succeeded
215	Automatic backup failed. Error code:
216	Printer error
217	Replacement:
218	Inlet positioning error
219	Conditioning error in El/Met electrode module
232	Oxi Water Spectrum intensity unsatisfactory
234	Oxi Sample Spectrum intensity too low
235	Spectrometer EEPROM reading failed
236	Spectrometer EEPROM writing failed
237	Spectrometer voltage bias too high
238	Spectrometer voltage bias too low
245	Spectrometer temperature too high
246	Spectrometer temperature too low
247	Spectrometer A/D converter failed
248	Spectrometer missing trigger
249	Halogen Lamp voltage too high
250	Halogen lamp voltage too low
251	Halogen Lamp intensity too high
252	Halogen Lamp intensity too low
254	Photodiode current setting too high
255	Photodiode current setting too low
256	Neon Lamp voltage too high
257	Neon Lamp voltage too low
258	Neon Lamp intensity too low
259	Temp. error: Oxi photodiode
269	Hemolyzer phase regulation failed
270	Temp. error: Hemolyzer
290	Warning: SHb detected
291	SHb too high
292	Turbidity too high
293	Warning: HbF detected and compensated for
314	Oxi wavelength deviation high
315	Neon number too high
316	Neon number too low
326	Empty Gas 1 cylinder
327	Empty Gas 2 cylinder
328	No leading air segment in inlet's liquid sensor within time frame
329	QC expiration date exceeded
331	No sample detected during sample aspiration
332	pH/BG module not filled
